lat,long,City,Country,Temp,Humidity,Cloudiness,Wind_Speed
-25.2406,130.9889,yulara,au,96.8,32.0,5.0,16.11
-4.1333,104.1667,baturaja,id,86.74,64.0,92.5,2.64
-7.2586,-64.7981,labrea,br,72.86,96.0,92.5,0.92
-10.8218,-42.7263,xique-xique,br,75.78,67.0,5.0,13.44
-41.4,173.05,wakefield,nz,76.5,53.0,92.5,1.01
-31.6667,116.6667,northam,au,78.51,31.0,5.0,9.22
-10.2128,-48.3603,palmas,br,78.8,83.0,18.0,3.44
-6.75,23.95,gandajika,cd,65.46,97.0,92.5,4.25
-6.1349,12.3689,soyo,ao,78.6,84.0,92.5,9.98
-7.3,109.2167,baturaden,id,78.35,72.0,92.5,1.14
-20.3667,14.9667,khorixas,na,65.03,83.0,67.5,3.58
-11.6725,-61.1936,pimenta bueno,br,72.28,96.0,92.5,0.47
-2.7933,-57.07,barreirinha,br,74.86,92.0,92.5,1.14
-5.1833,-68.9,jutai,br,72.18,95.0,92.5,1.54
-0.9,-89.6,puerto baquerizo moreno,ec,75.47,91.0,5.0,7.36
-8.4667,140.3333,merauke,id,85.48,72.0,92.5,15.7
-5.5569,-80.8222,sechura,pe,75.42,71.0,92.5,11.25
-27.7832,24.6877,pampierstad,za,69.87,63.0,92.5,13.22
-38.7,-73.1667,carahue,cl,48.2,100.0,5.0,3.44
-38.5473,-58.7368,necochea,ar,77.0,60.0,5.0,11.99
-10.8368,-65.3614,guayaramerin,bo,72.77,97.0,92.5,0.98
-21.5667,21.7833,ghanzi,bw,74.66,42.0,92.5,5.17
-5.5502,150.1429,kimbe,pg,88.12,56.0,92.5,7.4
-22.6667,167.4833,vao,nc,75.85,77.0,92.5,22.32
-1.2154,10.5838,fougamou,ga,72.46,94.0,67.5,2.13
-5.6667,132.75,tual,id,84.31,75.0,67.5,13.44
-2.2167,-80.9667,salinas,ec,76.59,79.0,67.5,4.25
-31.95,141.4333,broken hill,au,96.8,24.0,92.5,21.85
-18.65,146.1667,ingham,au,84.81,60.0,37.0,7.07
-45.8667,-67.5,comodoro rivadavia,ar,68.0,28.0,5.0,26.46
-17.2222,-46.8747,paracatu,br,66.65,82.0,37.0,1.14
-37.8811,147.981,lakes entrance,au,107.01,18.0,37.0,5.99
