lat,long,City,Country,Temp,Humidity,Cloudiness,Wind_Speed
-29.6833,152.9333,grafton,au,85.5,51.0,37.0,13.8
-22.0016,148.0466,moranbah,au,87.12,42.0,67.5,8.59
-1.8675,-79.7994,esmeraldas,ec,76.87,78.0,92.5,3.44
-31.4333,152.9167,port macquarie,au,88.09,45.0,5.0,3.0
-1.2675,116.8289,balikpapan,id,79.93,79.0,92.5,2.73
-19.5167,45.4667,miandrivazo,mg,77.45,81.0,92.5,1.66
-12.6,-69.1833,puerto maldonado,pe,69.78,98.0,92.5,2.1
-20.0167,148.2333,bowen,au,87.8,58.0,67.5,14.97
-8.103,156.8419,gizo,sb,85.23,64.0,67.5,8.48
-28.0681,-52.0139,tapejara,br,63.43,97.0,18.0,4.9
-0.7193,8.7815,port-gentil,ga,81.05,79.0,92.5,11.18
-20.7833,117.1333,roebourne,au,97.68,21.0,67.5,8.32
-10.6833,35.65,songea,tz,63.28,99.0,92.5,2.35
-5.795,-35.2094,natal,br,76.14,94.0,37.0,6.91
-19.9309,-60.7718,mayor pablo lagerenza,py,73.22,88.0,92.5,5.91
-20.5667,164.2833,koumac,nc,83.37,69.0,92.5,8.79
